model_label,stable_image_key,condition_label,image_region,safe,lively,wealthy,beautiful,boring,depressing
GPT-5.2,row_1,ESEA,OCE,74,18,52,45,72,28
GPT-5.2,row_1,NEU,OCE,72,18,40,45,70,22
GPT-5.2,row_1,NAWA,OCE,78,18,55,44,72,28
GPT-5.2,row_1,ENA,OCE,76,22,48,44,72,28
GPT-5.2,row_1,CSA,OCE,78,18,52,46,74,22
GPT-5.2,row_1,LAC,OCE,78,18,55,42,70,22
GPT-5.2,row_1,OCE,OCE,78,22,52,48,70,28
GPT-5.2,row_2,NAWA,OCE,78,22,55,48,68,24
GPT-5.2,row_2,NEU,OCE,74,22,43,55,66,28
GPT-5.2,row_2,SSA,OCE,78,22,58,55,66,24
GPT-5.2,row_2,CSA,OCE,78,28,55,52,66,22
GPT-5.2,row_2,OCE,OCE,78,24,45,52,68,22
GPT-5.2,row_2,ESEA,OCE,78,22,55,58,66,24
GPT-5.2,row_2,LAC,OCE,72,20,48,55,68,28
GPT-5.2,row_3,SSA,OCE,72,28,55,40,68,34
GPT-5.2,row_3,NAWA,OCE,70,25,40,35,75,45
GPT-5.2,row_2,ENA,OCE,78,22,50,55,66,24
GPT-5.2,row_3,CSA,OCE,72,28,55,38,70,42
GPT-5.2,row_3,ESEA,OCE,62,20,35,28,72,46
GPT-5.2,row_3,NEU,OCE,62,28,40,32,66,42
GPT-5.2,row_3,LAC,OCE,62,20,35,32,78,55
GPT-5.2,row_3,OCE,OCE,68,28,45,34,63,44
GPT-5.2,row_3,ENA,OCE,62,28,38,34,70,46
GPT-5.2,row_4,NEU,OCE,62,18,40,55,68,30
GPT-5.2,row_4,NAWA,OCE,62,24,45,58,66,34
GPT-5.2,row_4,CSA,OCE,62,25,45,58,68,28
GPT-5.2,row_1,SSA,OCE,78,18,55,50,72,22
GPT-5.2,row_4,SSA,OCE,68,22,40,55,70,30
GPT-5.2,row_4,ESEA,OCE,62,18,40,55,70,28
GPT-5.2,row_4,OCE,OCE,65,22,38,58,66,24
GPT-5.2,row_4,LAC,OCE,62,18,42,55,68,28
GPT-5.2,row_5,NEU,OCE,78,18,55,50,74,34
GPT-5.2,row_4,ENA,OCE,58,22,45,54,66,35
GPT-5.2,row_5,NAWA,OCE,78,18,55,52,72,34
GPT-5.2,row_5,CSA,OCE,78,20,58,52,72,45
GPT-5.2,row_5,SSA,OCE,78,18,62,55,74,38
GPT-5.2,row_5,OCE,OCE,78,18,55,52,72,40
GPT-5.2,row_5,ESEA,OCE,78,18,55,42,74,38
